ID,Strain,Sex,Ordered,DOB,EXP,EAE Protocol,Age at D0,Classical CDS,AR CDS,Global CDS
3711,129,F,JAX,4/20/2021,X134,"1X MOG, D0 PTX",8.14,56,0,56.0
3712,129,F,JAX,4/20/2021,X134,"1X MOG, D0 PTX",8.14,56,0,56.0
3713,129,F,JAX,4/20/2021,X134,"1X MOG, D0 PTX",8.14,64,0,64.0
3714,129,F,JAX,4/20/2021,X134,"1X MOG, D0 PTX",8.14,189,0,189.0
3715,129,F,JAX,4/20/2021,X134,"1X MOG, D0 PTX",8.14,33,0,33.0
3716,129,M,JAX,4/20/2021,X134,"1X MOG, D0 PTX",8.14,55,0,55.0
3717,129,M,JAX,4/20/2021,X134,"1X MOG, D0 PTX",8.14,71,0,71.0
3718,129,M,JAX,4/20/2021,X134,"1X MOG, D0 PTX",8.14,76,0,76.0
3719,129,M,JAX,4/20/2021,X134,"1X MOG, D0 PTX",8.14,87,0,87.0
3720,129,M,JAX,4/20/2021,X134,"1X MOG, D0 PTX",8.14,85,16,87.0
3401,C57BL6,F,Jax,1/12/2021,X126,"1X MOG, D0 PTX",10.43,112,2,112.0
3402,C57BL6,F,Jax,1/12/2021,X126,"1X MOG, D0 PTX",10.43,71,0,71.0
3403,C57BL6,F,Jax,1/12/2021,X126,"1X MOG, D0 PTX",10.43,130,0,130.0
3404,C57BL6,F,Jax,1/12/2021,X126,"1X MOG, D0 PTX",10.43,0,0,0.0
3409,C57BL6,F,Jax,12/22/2020,X126,"1X MOG, D0 PTX",13.43,4,0,4.0
3410,C57BL6,F,Jax,12/22/2020,X126,"1X MOG, D0 PTX",13.43,50,0,50.0
3411,C57BL6,F,Jax,12/22/2020,X126,"1X MOG, D0 PTX",13.43,94,2,96.0
3412,C57BL6,F,Jax,12/22/2020,X126,"1X MOG, D0 PTX",13.43,119,0,119.0
3701,C57BL6,F,JAX,4/13/2021,X134,"1X MOG, D0 PTX",9.14,19,0,19.0
3702,C57BL6,F,JAX,4/13/2021,X134,"1X MOG, D0 PTX",9.14,76,3,76.5
3703,C57BL6,F,JAX,4/13/2021,X134,"1X MOG, D0 PTX",9.14,20,0,20.0
3704,C57BL6,F,JAX,4/13/2021,X134,"1X MOG, D0 PTX",9.14,112,0,112.0
3705,C57BL6,F,JAX,4/13/2021,X134,"1X MOG, D0 PTX",9.14,44,0,44.0
3813,C57BL6,F,Jax,8/10/2021,X157,"1X MOG, D0 PTX",9.29,0,0,0.0
3814,C57BL6,F,Jax,8/10/2021,X157,"1X MOG, D0 PTX",9.29,98,0,98.0
3815,C57BL6,F,Jax,8/10/2021,X157,"1X MOG, D0 PTX",9.29,0,0,0.0
3816,C57BL6,F,Jax,8/10/2021,X157,"1X MOG, D0 PTX",9.29,77,0,77.0
3817,C57BL6,F,Jax,8/10/2021,X157,"1X MOG, D0 PTX",9.29,39,9,40.5
5132,C57BL/6,F,Jax,8/16/2022,X191,,8.00,109,52,114.0
5133,C57BL/6,F,Jax,8/16/2022,X191,,8.00,116,75,127.5
5134,C57BL/6,F,Jax,8/16/2022,X191,,8.00,142,7,143.0
5135,C57BL/6,F,Jax,8/16/2022,X191,,8.00,87,19,89.0
5136,C57BL/6,F,Jax,8/16/2022,X191,,8.00,140,36,140.5
3405,C57BL6,M,Jax,1/12/2021,X126,"1X MOG, D0 PTX",10.43,117,19,121.5
3406,C57BL6,M,Jax,1/12/2021,X126,"1X MOG, D0 PTX",10.43,9,0,9.0
