ID,Strain,Sex,EXP,Sample # ,Date,Stain,SC1,SC2,SC3,SC4,SC5,FB,MB,HB
3517,CC041,F,X126,1,6/20/2024,H&E,N,N,N,N,,N,A,A
3348,CC018 ,F,X126,2,6/20/2024,H&E,A,N,N,,,N,N,N
3825,CC011,F,X157,3,6/20/2024,H&E,N,N,N,N,N,N,A,N
3516,CC041,F,X126,4,6/21/2024 - 6/24/2024,H&E,N,A,N,,,N,N,N
3535,CC059,F,X126,5,6/24/2024,H&E,N,N,N,,,N,N,N
3476,CC043 ,M,X126,6,6/25/2024,H&E,A,A,A,,,N,B,A
3406,C57BL/6,M,X126,7,6/25/2024,H&E,N,N,,,,N,N,N
3571,CC011 ,M,X126,8,6/26/2024,H&E,N,N,N,,,A,N,A
3404,C57BL/6,F,X126,9,6/26/2024,H&E,N,N,N,N,,N,N,N
3518,CC041,F,X126,10,6/26/2024,H&E,N,N,,,,N,N,N
3748,CC043,F,X134,11,6/26/2024,H&E,N,N,,,,B,A,A
3542,CC059,M,X126,12,6/27/2024,H&E,N,N,N,,,N,E,A
3572,CC011 ,M,X126,13,6/27/2024,H&E,N,A,N,,,N,A,A
3405,C57BL/6,M,X126,14,6/28/2024,H&E,N,,,,,B,A,A
3538,CC059,F,X126,15,6/28/2024,H&E,N,N,N,,,N,N,A
3474,CC043 ,F,X126,16,7/1/2024,H&E,A,N,N,,,A,A,A
3537,CC059,F,X126,17,7/1/2024,H&E,N,N,,,,N,E,N
3567,CC011 ,F,X126,18,7/1/2024,H&E,N,N,,,,N,N,A
3819,C57BL/6,M,X157,19,7/1/2024,H&E,N,N,N,,,N,N,N
3522,CC041,M,X126,20,7/1/2024,H&E,N,N,N,,,N,N,N
3750,CC043,M,X134,21,7/1/2024,H&E,N,A,,,,N,N,A
3568,CC011 ,F,X126,22,7/2/2024,H&E,A,N,,,,A,A,A
3540,CC059,M,X126,23,7/2/2024,H&E,N,N,N,,,N,N,N
3475,CC043 ,F,X126,24,7/2/2024,H&E,N,N,N,,,N,N,A
3523,CC041,M,X126,25,7/2/2024,H&E,N,N,N,,,N,N,N
3403,C57BL/6,F,X126,26,7/2/2024,H&E,N,N,N,N,N,N,N,A
3569,CC011 ,F,X126,27,7/2/2024,H&E,N,N,N,,,N,A,A
3751,CC043,M,X134,28,7/3/2024,H&E,N,A,,,,A,A,A
3352,CC018 ,M,X126,29,7/3/2024,H&E,A,N,N,N,,N,N,N
3543,CC059,M,X126,30,7/5/2024,H&E,A,N,N,N,,N,A,N
3350,CC018 ,F,X126,31,7/5/2024,H&E,A,N,N,,,N,N,N
3514,CC041,F,X126,32,7/5/2024,H&E,N,N,N,,,N,A,N
3541,CC059,M,X126,33,7/5/2024,H&E,N,N,N,,,N,A,A
3401,C57BL/6,F,X126,34,7/5/2024,H&E,N,N,N,,,B,N,A
5144,CC020,M,X191,35,7/8/2024,H&E,N,N,N,,,N,A,N
5129,C57BL/6,M,X191,36,7/8/2024,H&E,N,A,N,,,N,N,N
3519,CC041,M,X126,37,7/8/2024,H&E,N,N,,,,N,N,N
3570,CC011 ,M,X126,38,7/9/2024,H&E,N,N,N,N,,N,A,A
5146,CC020,M,X191,39,7/9/2024,H&E,N,N,N,,,N,N,N
3521,CC041,M,X126,40,7/10/2024,H&E,N,N,N,,,N,N,N
3536,CC059,F,X126,41,7/10/2024,H&E,N,N,N,N,,N,N,N
3826,CC011,F,X157,42,7/10/2024,H&E,N,N,N,,,N,N,N
5141,CC020,F,X191,43,7/10/2024,H&E,N,N,N,N,,N,E,A
3353,CC018 ,M,X126,44,7/10/2024,H&E,N,N,N,,,N,N,N
3534,CC059,F,X126,45,7/10/2024,H&E,A,A,N,N,,N,N,A
5131,C57BL/6,M,X191,46,7/11/2024,H&E,N,N,,,,N,N,N
3520,CC041,M,X126,47,7/11/2024,H&E,N,N,N,N,,N,N,N
5143,CC020,M,X191,48,7/11/2024,H&E,N,N,,,,N,N,N
3351,CC018 ,M,X126,49,7/11/2024,H&E,A,N,N,N,,N,A,N
3746,CC043,F,X134,50,7/11/2024,H&E,A,N,,,,A,A,A
5130,C57BL/6,M,X191,51,7/11/2024,H&E,N,N,N,,,N,E,N
3539,CC059,M,X126,52,7/15/2024,H&E,N,N,N,N,N,A,N,A
5139,CC020,F,X191,53,7/15/2024,H&E,N,N,N,,,N,N,A
3574,CC011 ,M,X126,54,7/15/2024,H&E,N,N,N,N,,A,N,A
5135,C57BL/6,F,X191,55,7/15/2024,H&E,N,N,N,N,,N,N,N
3573,CC011 ,M,X126,56,7/15/2024,H&E,N,N,N,,,A,N,A
3749,CC043,M,X134,57,7/15/2024,H&E,N,N,,,,A,N,A
5138,CC020,F,X191,58,7/16/2024,H&E,N,N,N,,,N,N,N
5132,C57BL/6,F,X191,59,7/16/2024,H&E,N,N,N,,,N,N,N
3477,CC043 ,M,X126,60,7/16/2024,H&E,A,A,N,A,,A,A,A
5140,CC020,F,X191,61,7/16/2024,H&E,N,N,N,,,N,N,N
3827,CC018,F,X157,62,7/16/2024,H&E,N,N,N,,,N,N,N
5145,CC020,M,X191,63,7/17/2024,H&E,N,N,N,N,,N,N,N
3349,CC018 ,F,X126,64,7/17/2024,H&E,N,N,N,N,N,N,N,N
3747,CC043,F,X134,65,7/17/2024,H&E,A,A,,,,B,A,A
5142,CC020,M,X191,66,7/17/2024,H&E,N,N,N,,,N,N,N
3515,CC041,F,X126,67,7/19/2024,H&E,N,A,N,N,,N,,A
3815,C57BL/6,F,X157,68,7/19/2024,H&E,N,N,N,,,N,N,N
3355,CC018 ,M,X126,69,7/19/2024,H&E,N,N,N,,,N,A,B
5137,CC020,F,X191,70,7/19/2024,H&E,N,N,,,,N,N,N
3407,C57BL/6,M,X126,71,7/19/2024-7/22/2024,H&E,N,N,N,N,,N,N,A
