ID,Strain,Sex,EXP,Weight Days,Weight Scheme,Max Weight Loss,Max Weight Gain,Average Weight Change
3711,129,F,X134,"D: 5,7,9,12,14,16,19,21,23,26,28,30,33,35,37,40,42,44,47,49",2,-21.13402062,9.278350515,-1.718213058
3712,129,F,X134,"D: 5,7,9,12,14,16,19,21,23,26,28,30,33,35,37,40,42,44,47,49",2,-24.87562189,1.990049751,-7.462686567
3713,129,F,X134,"D: 5,7,9,12,14,16,19,21,23,26,28,30,33,35,37,40,42,44,47,49",2,-20.21276596,10.63829787,1.646403242
3714,129,F,X134,"D: 5,7,9,12,14,16,19,21,23,26,28,30,33,35,37,40,42,44,47,49",2,-9.547738693,17.08542714,7.118927973
3715,129,F,X134,"D: 5,7,9,12,14,16,19,21,23,26,28,30,33,35,37,40,42,44,47,49",2,-21.39303483,12.93532338,5.721393035
3716,129,M,X134,"D: 5,7,9,12,14,16,19,21,23,26,28,30,33,35,37,40,42,44,47,49",2,-8.536585366,5.284552846,1.103368177
3717,129,M,X134,"D: 5,7,9,12,14,16,19,21,23,26,28,30,33,35,37,40,42,44,47,49",2,-23.77358491,0.377358491,-8.140161725
3718,129,M,X134,"D: 5,7,9,12,14,16,19,21,23,26,28,30,33,35,37,40,42,44,47,49",2,-24.4813278,4.979253112,-4.07034183
3719,129,M,X134,"D: 5,7,9,12,14,16,19,21,23,26,28,30,33,35,37,40,42,44,47,49",2,-20.0913242,2.739726027,-8.066971081
3720,129,M,X134,"D: 5,7,9,12,14,16,19,21,23,26,28,30,33,35,37,40,42,44,47,49",2,-24.78991597,3.781512605,-9.983993597
3401,B6,F,X126,"D: 5,7,10,12,14,17,19,21,24,26,28,31,33,35,38,40,42,45,47,49",1,-34.69387755,1.020408163,-14.09135083
3402,B6,F,X126,"D: 5,7,10,12,14,17,19,21,24,26,28,31,33,35,38,40,42,45,47,49",1,-22.17391304,1.304347826,-6.832298137
3403,B6,F,X126,"D: 5,7,10,12,14,17,19,21,24,26,28,31,33,35,38,40,42,45,47,49",1,-26.79425837,3.827751196,-8.817498291
3404,B6,F,X126,"D: 5,7,10,12,14,17,19,21,24,26,28,31,33,35,38,40,42,45,47,49",1,0,20,9.05775076
3409,B6,F,X126,"D: 5,7,10,12,14,17,19,21,24,26,28,31,33,35,38,40,42,45,47,49",1,-5.825242718,17.47572816,4.114655571
3410,B6,F,X126,"D: 5,7,10,12,14,17,19,21,24,26,28,31,33,35,38,40,42,45,47,49",1,-11.79487179,12.82051282,2.905982906
3411,B6,F,X126,"D: 5,7,10,12,14,17,19,21,24,26,28,31,33,35,38,40,42,45,47,49",1,-22.22222222,2.415458937,-10.42097999
3412,B6,F,X126,"D: 5,7,10,12,14,17,19,21,24,26,28,31,33,35,38,40,42,45,47,49",1,-16.34615385,12.01923077,-7.577838828
3701,B6,F,X134,"D: 5,7,9,12,14,16,19,21,23,26,28,30,33,35,37,40,42,44,47,49",2,-4.494382022,15.16853933,7.33012306
3702,B6,F,X134,"D: 5,7,9,12,14,16,19,21,23,26,28,30,33,35,37,40,42,44,47,49",2,-6.395348837,26.74418605,9.689922481
3703,B6,F,X134,"D: 5,7,9,12,14,16,19,21,23,26,28,30,33,35,37,40,42,44,47,49",2,-24.7311828,7.52688172,-2.662570405
3704,B6,F,X134,"D: 5,7,9,12,14,16,19,21,23,26,28,30,33,35,37,40,42,44,47,49",2,-14.51612903,5.913978495,-3.020993344
3705,B6,F,X134,"D: 5,7,9,12,14,16,19,21,23,26,28,30,33,35,37,40,42,44,47,49",2,-7.407407407,3.174603175,-2.015621063
3813,B6,F,X157,"D: 6,8,11,13,15,18,20,22,25,27,29,32,34,36,39,41,43,46,48,50",3,0,25.92592593,21.07583774
3814,B6,F,X157,"D: 6,8,11,13,15,18,20,22,25,27,29,32,34,36,39,41,43,46,48,50",3,-17.31843575,20.11173184,-1.276935355
3815,B6,F,X157,"D: 6,8,11,13,15,18,20,22,25,27,29,32,34,36,39,41,43,46,48,50",3,0,17.41573034,10.75441413
3816,B6,F,X157,"D: 6,8,11,13,15,18,20,22,25,27,29,32,34,36,39,41,43,46,48,50",3,-4.21686747,18.6746988,8.777969019
3817,B6,F,X157,"D: 6,8,11,13,15,18,20,22,25,27,29,32,34,36,39,41,43,46,48,50",3,0,27.16049383,17.22516167
5132,B6,F,X191,"D: 6,8,11,13,15,17,20,22,24,27,29,31,34,36,38,41,43,45,48,50",4,-24.47916667,14.0625,-3.670634921
